I,c
8.50,853.6
8.99,4776.3
9.48,8850.0
10.02,13400
10.51,17692
11.00,21151
11.49,23684
11.97,25455
12.51,26814
13.00,27285
13.49,28234
13.98,32305
14.52,77893
15.00,437428
15.49,2035000
