I,c
8.50,64.4
8.99,89.1
9.48,92.6
10.02,100.9
10.51,100.5
11.00,105.2
11.49,108.6
11.97,122.4
12.51,142.2
13.00,218.1
13.49,580.2
13.98,3377
14.52,47143
15.00,495555
15.49,2033683
