I,c
9.09,28.2
9.48,37.6
9.92,38.2
10.46,37.5
11.05,37.9
11.49,43.6
11.97,44.9
12.51,45.1
13.00,53.4
13.49,70.54
13.98,127.2
14.52,285.9
15.00,960.9
15.49,5186
15.98,71733
