att,v
-15.00,0.01815892
-15.00,0.01815892
-15.00,0.01879036
-15.00,0.01815892
-15.00,0.01847464
-15.00,0.01815892
-14.50,0.02036897
-14.50,0.02005325
-14.50,0.02036897
-14.50,0.02036897
-14.50,0.02068469
-14.50,0.02068469
-14.00,0.02321046
-14.00,0.02257902
-14.00,0.02321046
-14.00,0.02289474
-14.00,0.02321046
-14.00,0.02289474
-13.50,0.02573623
-13.50,0.02542051
-13.50,0.02636767
-13.50,0.02636767
-13.50,0.02573623
-13.50,0.02605195
-13.00,0.02920917
-13.00,0.02889344
-13.00,0.02889344
-13.00,0.02920917
-13.00,0.02920917
-13.00,0.02889344
-12.50,0.03236638
-12.50,0.03205066
-12.50,0.03236638
-12.50,0.03299782
-12.50,0.03268210
-12.50,0.03268210
-12.00,0.03773364
-12.00,0.03647076
-12.00,0.03710220
-12.00,0.03647076
-12.00,0.03647076
-12.00,0.03647076
-11.50,0.04152230
-11.50,0.04120658
-11.50,0.04120658
-11.50,0.04120658
-11.50,0.04120658
-11.50,0.04089086
-11.00,0.04625813
-11.00,0.04594240
-11.00,0.04657384
-11.00,0.04625813
-11.00,0.04562668
-11.00,0.04594240
-10.50,0.05225683
-10.50,0.05194111
-10.50,0.05225683
-10.50,0.05225683
-10.50,0.05162539
-10.50,0.05225683
-10.00,0.05857126
-10.00,0.05793982
-10.00,0.05857126
-10.00,0.05857126
-10.00,0.05857126
-10.00,0.05857126
-9.50,0.06551713
-9.50,0.06551713
-9.50,0.06520141
-9.50,0.06583285
-9.50,0.06583285
-9.50,0.06551713
-9.00,0.07404161
-9.00,0.07404161
-9.00,0.07309444
-9.00,0.07372589
-9.00,0.07372589
-9.00,0.07372589
-8.50,0.08288181
-8.50,0.08256609
-8.50,0.08288181
-8.50,0.08256609
-8.50,0.08256609
-8.50,0.08256609
-8.00,0.09235346
-8.00,0.09266917
-8.00,0.09266917
-8.00,0.09266917
-8.00,0.09266917
-8.00,0.09266917
-7.50,0.10340370
-7.50,0.10435086
-7.50,0.10466659
-7.50,0.10371943
-7.50,0.10403515
-7.50,0.10371943
-7.00,0.11666401
-7.00,0.11666401
-7.00,0.11697973
-7.00,0.11634828
-7.00,0.11666401
-7.00,0.11603256
-6.50,0.13055575
-6.50,0.13118719
-6.50,0.13118719
-6.50,0.13118719
-6.50,0.12992431
-6.50,0.13118719
-6.00,0.14665754
-6.00,0.14697327
-6.00,0.14697327
-6.00,0.14728898
-6.00,0.14665754
-6.00,0.14665754
-5.50,0.16528511
-5.50,0.16528511
-5.50,0.16528511
-5.50,0.16528511
-5.50,0.16496938
-5.50,0.16496938
-5.00,0.18517555
-5.00,0.18549128
-5.00,0.18549128
-5.00,0.18485984
-5.00,0.18485984
-5.00,0.18517555
-4.50,0.20790750
-4.50,0.20759177
-4.50,0.20727606
-4.50,0.20853895
-4.50,0.20759177
-4.50,0.20790750
-4.00,0.23284949
-4.00,0.23348093
-4.00,0.23316522
-4.00,0.23316522
-4.00,0.23316522
-4.00,0.23348093
-3.50,0.26094869
-3.50,0.26126441
-3.50,0.26126441
-3.50,0.26158014
-3.50,0.26158014
-3.50,0.26126441
-3.00,0.29315230
-3.00,0.29346800
-3.00,0.29346800
-3.00,0.29315230
-3.00,0.29346800
-3.00,0.29346800
-2.50,0.32914454
-2.50,0.32977599
-2.50,0.32946026
-2.50,0.32946026
-2.50,0.32946026
-2.50,0.33009169
-2.00,0.36924115
-2.00,0.36987260
-2.00,0.36987260
-2.00,0.36987260
-2.00,0.36987260
-2.00,0.37018833
-1.50,0.41502076
-1.50,0.41533649
-1.50,0.41502076
-1.50,0.41502076
-1.50,0.41533649
-1.50,0.41533649
-1.00,0.46616763
-1.00,0.46522048
-1.00,0.46648335
-1.00,0.46585190
-1.00,0.46648335
-1.00,0.46585190
-0.50,0.52268177
-0.50,0.52331322
-0.50,0.52299750
-0.50,0.52299750
-0.50,0.52268177
-0.50,0.52299750
0.00,0.58677322
0.00,0.58645749
0.00,0.58645749
0.00,0.58708894
0.00,0.58677322
0.00,0.58708894
0.50,0.65907341
0.50,0.65875769
0.50,0.65907341
0.50,0.65875769
0.50,0.65844202
0.50,0.65875769
1.00,0.73895097
1.00,0.73926669
1.00,0.73958242
1.00,0.73895097
1.00,0.73863524
1.00,0.73926669
1.50,0.82987875
1.50,0.82956302
1.50,0.82924730
1.50,0.82987875
1.50,0.82956302
1.50,0.82956302
2.00,0.93185675
2.00,0.93154103
2.00,0.93027812
2.00,0.93154103
2.00,0.93059385
2.00,0.93122530
2.50,1.04425359
2.50,1.04488504
2.50,1.04520071
2.50,1.04520071
2.50,1.04488504
2.50,1.04551649
3.00,1.17306793
3.00,1.17306793
3.00,1.17243648
3.00,1.17275226
3.00,1.17306793
3.00,1.17275226
3.50,1.31608975
3.50,1.31577408
3.50,1.31577408
3.50,1.31514263
3.50,1.31608975
3.50,1.31608975
4.00,1.47331905
4.00,1.47426617
4.00,1.47458196
4.00,1.47363472
4.00,1.47489762
4.00,1.47426617
4.50,1.65517461
4.50,1.65485883
4.50,1.65549028
4.50,1.65422738
4.50,1.65454316
4.50,1.65422738
5.00,1.85660481
5.00,1.85786772
5.00,1.85755205
5.00,1.85786772
5.00,1.85786772
5.00,1.85786772
5.50,2.08487153
5.50,2.08487153
5.50,2.08392429
5.50,2.08518720
5.50,2.08487153
5.50,2.08487153
6.00,2.34029007
6.00,2.34123731
6.00,2.33997440
6.00,2.34029007
6.00,2.33997440
6.00,2.34029007
6.50,2.62601805
6.50,2.62696505
6.50,2.62601805
6.50,2.62570238
6.50,2.62759662
6.50,2.62664938
7.00,2.94805384
7.00,2.94805384
7.00,2.94805384
7.00,2.94773817
7.00,2.94742250
7.00,2.94805384
7.50,3.30797625
7.50,3.30702925
7.50,3.30892348
7.50,3.30892348
7.50,3.30892348
7.50,3.30892348
8.00,3.71209979
8.00,3.71336269
8.00,3.71146822
8.00,3.71273112
8.00,3.71209979
8.00,3.71209979
8.50,4.16547585
8.50,4.16610718
8.50,4.16610718
8.50,4.16484451
8.50,4.16736984
8.50,4.16579151
9.00,4.67378712
9.00,4.67505026
9.00,4.67536592
9.00,4.67505026
9.00,4.67473459
9.00,4.67441845
9.50,5.24587440
9.50,5.24619007
