att,v
10.00,1.73852503
10.00,1.73852503
10.00,1.73820937
10.00,1.73852503
10.00,1.73884070
10.50,1.95100558
10.50,1.95037413
10.50,1.95100558
10.50,1.95037413
10.50,1.95100558
10.50,1.95037413
11.00,2.19158530
11.00,2.19032240
11.00,2.19190097
11.00,2.18842816
11.00,2.19000673
11.00,2.19032240
11.50,2.45805430
11.50,2.45710707
11.50,2.45742273
11.50,2.45679140
11.50,2.45742273
11.50,2.45710707
12.00,2.75672674
12.00,2.75672674
12.00,2.75609517
12.00,2.75704241
12.00,2.75735807
12.00,2.75672674
12.50,3.09360147
12.50,3.09328580
12.50,3.09202290
12.50,3.09265423
12.50,3.09360147
12.50,3.09328580
13.00,3.47151995
13.00,3.47151995
13.00,3.47025704
13.00,3.46899414
13.00,3.47120428
13.00,3.47120428
