I,c
7.97,4.6
7.97,4.0
7.97,4.7
7.97,3.8
7.97,4.0
8.50,310.0
8.50,273.9
8.50,303.6
8.50,281.4
8.50,280.7
8.99,1382.0
8.99,1386.5
8.99,1422.7
8.99,1363.8
8.99,1374.0
9.48,2633.7
9.48,2703.0
9.48,2623.2
9.48,2671.4
9.48,2620.9
10.02,4334.3
10.02,4301.3
10.02,4335.1
10.02,4260.9
10.02,4307.9
10.51,5896.1
10.51,5861.4
10.51,5857.4
10.51,5867.1
10.51,5857.0
11.00,7314.3
11.00,7222.3
11.00,7229.2
11.00,7215.5
11.00,7284.5
11.49,8300.1
11.49,8331.4
11.49,8267.6
11.49,8242.7
11.49,8235.7
11.97,8946.8
11.97,9001.7
11.97,8924.8
11.97,8915.6
11.97,8881.3
12.51,9499.9
12.51,9479.9
12.51,9397.0
12.51,9462.0
12.51,9513.7
13.00,9811.7
13.00,9812.3
13.00,9842.7
13.00,9788.9
13.00,9788.2
13.25,9912.9
13.25,9838.3
13.25,9901.1
13.25,9987.9
13.25,9888.9
13.25,9943.2
13.25,9991.0
13.25,9928.9
13.49,10164.1
13.49,10203.0
13.49,10197.7
13.49,10161.0
13.49,10203.1
13.49,10128.1
13.49,10154.3
13.49,10178.6
13.73,10750.2
13.73,10697.5
13.73,10688.0
13.73,10802.5
13.73,10791.3
13.73,10832.6
13.73,10815.2
13.73,10826.0
13.98,12196.6
13.98,12179.8
13.98,12425.3
13.98,12379.5
13.98,12391.4
13.98,12573.0
13.98,12540.4
13.98,12400.7
14.27,19264.2
14.27,18769.0
14.27,18654.1
14.27,19432.0
14.27,19657.3
14.27,19663.3
14.27,19630.1
14.27,19619.9
14.52,42008.2
14.52,43041.7
14.52,42930.2
14.52,42482.2
14.52,41725.6
14.52,40444.9
14.52,41114.2
14.52,41964.3
14.76,110422.3
14.76,104509.4
14.76,108496.8
14.76,111882.2
14.76,112286.0
14.76,112533.1
14.76,111282.3
14.76,107030.4
15.00,327194.1
15.00,319754.2
15.00,312080.9
15.00,300090.8
15.00,292216.9
15.00,310503.4
15.00,311755.4
15.00,303482.6
15.25,760835.0
15.25,773237.2
15.25,778575.7
15.25,754642.8
15.25,699649.6
15.25,739842.9
15.25,764545.3
15.25,778529.6
15.49,1647590.3
15.49,1590252.7
15.49,1611975.9
15.49,1627866.8
15.49,1663106.3
15.49,1691909.0
15.49,1702378.5
15.49,1674261.4
