

lambda(m), Y
1.24992e-06, -0.00107206
1.24902e-06, -0.00124383
1.24812e-06, -0.00143497
1.24722e-06, -0.00159667
1.24632e-06, -0.00175878
1.24542e-06, -0.00197289
1.24453e-06, -0.00212688
1.24363e-06, -0.00213664
1.24274e-06, -0.00218252
1.24185e-06, -0.00240504
1.24095e-06, -0.0026543
1.24007e-06, -0.00284414
1.23918e-06, -0.00312244
1.23829e-06, -0.00348298
1.2374e-06, -0.00373553
1.23652e-06, -0.00392817
1.23564e-06, -0.00424858
1.23475e-06, -0.00461251
1.23387e-06, -0.00485773
1.23299e-06, -0.00506665
1.23212e-06, -0.00529712
1.23124e-06, -0.00541964
1.23036e-06, -0.00546256
1.22949e-06, -0.00559826
1.22862e-06, -0.00574782
1.22774e-06, -0.0057757
1.22687e-06, -0.00593552
1.226e-06, -0.00654349
1.22514e-06, -0.00743719
1.22427e-06, -0.00820309
1.2234e-06, -0.00865001
1.22254e-06, -0.00881626
1.22168e-06, -0.00884267
1.22081e-06, -0.00890931
1.21995e-06, -0.00904427
1.21909e-06, -0.00911605
1.21823e-06, -0.00911353
1.21738e-06, -0.00911171
1.21652e-06, -0.00901133
1.21567e-06, -0.00874692
1.21481e-06, -0.00854352
1.21396e-06, -0.0085424
1.21311e-06, -0.00859049
1.21226e-06, -0.00876291
1.21141e-06, -0.00944662
1.21056e-06, -0.010559
1.20972e-06, -0.0114136
1.20887e-06, -0.0116359
1.20803e-06, -0.0115264
1.20718e-06, -0.0114115
1.20634e-06, -0.0112835
1.2055e-06, -0.0110916
1.20466e-06, -0.0108669
1.20382e-06, -0.0105961
1.20299e-06, -0.0102557
1.20215e-06, -0.00986471
1.20132e-06, -0.00944241
1.20048e-06, -0.00906478
1.19965e-06, -0.0088897
1.19882e-06, -0.00902543
1.19799e-06, -0.00950819
1.19716e-06, -0.01031
1.19633e-06, -0.0111324
1.1955e-06, -0.0114829
1.19468e-06, -0.0112705
1.19385e-06, -0.0109369
1.19303e-06, -0.0107608
1.19221e-06, -0.0105689
1.19139e-06, -0.0102727
1.19057e-06, -0.0100333
1.18975e-06, -0.00981824
1.18893e-06, -0.00942733
1.18811e-06, -0.00892057
1.1873e-06, -0.00850366
1.18649e-06, -0.00820726
1.18567e-06, -0.00808975
1.18486e-06, -0.00839292
1.18405e-06, -0.00914433
1.18324e-06, -0.00995135
1.18243e-06, -0.010398
1.18162e-06, -0.0103864
1.18082e-06, -0.0100832
1.18001e-06, -0.0097436
1.17921e-06, -0.00950538
1.1784e-06, -0.00928091
1.1776e-06, -0.00897044
1.1768e-06, -0.00864143
1.176e-06, -0.00831547


