I,c
9.09,481.54
9.48,2189.2
9.92,4570.74
10.46,8168.04
11.05,13505
11.49,17410
11.97,21399
12.51,24868
13.00,26771
13.49,28215
13.98,28957
14.52,29453
15.00,30430
15.49,36927.0
15.98,111790
