att,v
0.0000,-0.00077189
0.0000,-0.00045633
0.5000,0.00031683
0.5000,0.00020637
0.5000,0.00026160
0.5000,-0.00018810
0.5000,0.00016692
0.5000,0.00015114
0.5000,0.00036417
0.5000,0.00005646
1.0000,0.00154766
1.0000,0.00122417
1.0000,0.00110583
1.0000,0.00061665
1.0000,0.00075867
1.0000,0.00099537
1.0000,0.00123206
1.0000,0.00112950
1.5000,0.00150821
1.5000,0.00196583
1.5000,0.00209207
1.5000,0.00207629
1.5000,0.00232088
1.5000,0.00205262
1.5000,0.00191060
1.5000,0.00189482
2.0000,0.00331501
2.0000,0.00342547
2.0000,0.00293629
2.0000,0.00308620
2.0000,0.00322822
2.0000,0.00370162
2.0000,0.00331501
2.0000,0.00336235
2.5000,0.00467208
2.5000,0.00465630
2.5000,0.00463263
2.5000,0.00475887
2.5000,0.00455373
2.5000,0.00455373
2.5000,0.00438015
2.5000,0.00464052
3.0000,0.00583979
3.0000,0.00588713
3.0000,0.00607649
3.0000,0.00625796
3.0000,0.00629741
3.0000,0.00612383
3.0000,0.00583190
3.0000,0.00602126
3.5000,0.00768604
3.5000,0.00793852
3.5000,0.00762292
3.5000,0.00782806
3.5000,0.00772549
3.5000,0.00779650
3.5000,0.00787540
3.5000,0.00797797
4.0000,0.00932715
4.0000,0.00968220
4.0000,0.00969009
4.0000,0.00954018
4.0000,0.00927192
4.0000,0.00949284
4.0000,0.00952440
4.0000,0.00970587
4.5000,0.01170991
4.5000,0.01150478
4.5000,0.01147322
4.5000,0.01138643
4.5000,0.01200184
4.5000,0.01174936
4.5000,0.01189927
4.5000,0.01163890
5.0000,0.01391121
5.0000,0.01417158
5.0000,0.01438461
5.0000,0.01408479
5.0000,0.01387965
5.0000,0.01388754
5.0000,0.01398222
5.0000,0.01419525
5.5000,0.01668847
5.5000,0.01649911
5.5000,0.01633342
5.5000,0.01672003
5.5000,0.01668847
5.5000,0.01693306
5.5000,0.01656223
5.5000,0.01646755
6.0000,0.01959986
6.0000,0.01978133
6.0000,0.01944206
6.0000,0.01952096
6.0000,0.01959197
6.0000,0.01987601
6.0000,0.02002592
6.0000,0.01982867
6.5000,0.02315823
6.5000,0.02270061
6.5000,0.02288997
6.5000,0.02282685
6.5000,0.02306355
6.5000,0.02303199
6.5000,0.02285052
6.5000,0.02277951
7.0000,0.02670082
7.0000,0.02695329
7.0000,0.02683494
7.0000,0.02666137
7.0000,0.02667714
7.0000,0.02680338
7.0000,0.02707953
7.0000,0.02698485
7.5000,0.03076414
7.5000,0.03095350
7.5000,0.03102451
7.5000,0.03111130
7.5000,0.03100084
7.5000,0.03066946
7.5000,0.03095350
7.5000,0.03067735
8.0000,0.03597939
8.0000,0.03537187
8.0000,0.03527719
8.0000,0.03557701
8.0000,0.03593994
8.0000,0.03534820
8.0000,0.03564801
8.0000,0.03543499
8.5000,0.04091061
8.5000,0.04106052
8.5000,0.04111575
8.5000,0.04068969
8.5000,0.04058712
8.5000,0.04050822
8.5000,0.04102107
8.5000,0.04116309
9.0000,0.04731725
9.0000,0.04686752
9.0000,0.04619687
9.0000,0.04677284
9.0000,0.04663082
9.0000,0.04728569
9.0000,0.04700954
9.0000,0.04678862
9.5000,0.05343196
9.5000,0.05370811
9.5000,0.05366077
9.5000,0.05325049
9.5000,0.05314003
9.5000,0.05317948
9.5000,0.05347141
9.5000,0.05343985
10.0000,0.06066704
10.0000,0.06088007
10.0000,0.06099053
10.0000,0.06079328
10.0000,0.06111677
10.0000,0.06099053
10.0000,0.06083273
10.0000,0.06073805
10.5000,0.06932231
10.5000,0.06943277
10.5000,0.06889626
10.5000,0.06903038
10.5000,0.06911717
10.5000,0.06935387
10.5000,0.06929075
10.5000,0.06873056
11.0000,0.07784346
11.0000,0.07832474
11.0000,0.07882181
11.0000,0.07858511
11.0000,0.07867979
11.0000,0.07881392
11.0000,0.07868768
11.0000,0.07870346
11.5000,0.08946535
11.5000,0.08972572
11.5000,0.08941012
11.5000,0.08892094
11.5000,0.08899195
11.5000,0.08909452
11.5000,0.08968627
11.5000,0.08963893
12.0000,0.10092944
12.0000,0.10092155
12.0000,0.10133183
12.0000,0.10111880
12.0000,0.10123715
12.0000,0.10111880
12.0000,0.10088999
12.0000,0.10100834
12.5000,0.11461061
12.5000,0.11435813
12.5000,0.11414510
12.5000,0.11360069
12.5000,0.11434235
12.5000,0.11459483
12.5000,0.11456327
12.5000,0.11427923
13.0000,0.12933326
13.0000,0.12949105
13.0000,0.12941214
13.0000,0.12932536
13.0000,0.12934114
13.0000,0.12919912
13.0000,0.12924646
13.0000,0.12936482
