w_c,w_s,Effective_mode_index,Z0
0.85,1.2,1.6829406201388286+3.909916749741099E-13i,52.82177716046722-1.1688510950618499E-11i
0.85,1.3,1.6873467244171783,56.241444609610376-1.8555807859866853E-13i
0.85,1.4,1.6915883190055538-2.6627889837912846E-13i,59.922366625939944+9.443670750687658E-12i
0.85,1.5,1.6966683864715895,62.62879931462334-7.749780039006089E-13i
0.85,1.6,1.7011857661755734-2.1514637052568826E-12i,64.95757823903168+8.28222625413496E-11i
0.85,1.7,1.7059558503544503+8.466273415701864E-13i,66.90604783164744-3.365099113058103E-11i
0.85,1.8,1.7113110214725065+4.922844445519601E-16i,68.71506000741864+2.7384638045872255E-13i
0.85,1.9,1.7169558577896793,70.30639862949755-3.6280744476846924E-13i
0.85,2,1.7224927875935383+1.1167557604330319E-13i,71.59999365787706-4.737999866992495E-12i
0.85,2.1,1.7284378521787909+2.766435095708185E-13i,72.70092699931273-1.2295262196047866E-11i
0.85,2.2,1.7346958957083871+2.8666597089946425E-16i,73.71940285644546-6.638780111738023E-13i
0.9,1.2,1.6846454244013782,50.03653925907641-1.1735686742452072E-13i
0.9,1.3,1.687315506513111-6.430173215207628E-16i,53.69207413435376+6.005284349577912E-14i
0.9,1.4,1.692049889699794+1.1172551047259725E-12i,57.340704133438365-3.681562087125564E-11i
0.9,1.5,1.6971719405832995-2.618994999281726E-16i,60.23666840939234-1.3161821587919305E-13i
0.9,1.6,1.702346930620746,62.501170274697515-3.2571658915489456E-14i
0.9,1.7,1.706956086551027-4.143230795196547E-16i,64.6101575249385+3.0251624845239416E-13i
0.9,1.8,1.7125187792543333,66.44710407848746+1.1528888245427758E-12i
0.9,1.9,1.717898138051228,68.03038952480279-2.909307296482272E-13i
0.9,2,1.7239205226784404+3.8050639594747835E-16i,69.39883700600639-4.686957019160217E-13i
0.9,2.1,1.7301065817352932-2.9933022354601677E-16i,70.52702755879444-1.906464250272892E-13i
0.9,2.2,1.736732211652993-2.8493024249232506E-16i,71.50999451110599-8.507323569211637E-15i
0.95,1.2,1.6829589926050565,47.09037219682575+4.704025184741258E-13i
0.95,1.3,1.6873937800364067+2.077972755685214E-12i,51.021636634191154-6.171371414898043E-11i
0.95,1.4,1.6923638541185224-3.614195387553438E-16i,54.1948069963928+4.605176951993898E-13i
0.95,1.5,1.6976075017638836,57.776037068053476-6.545728196761759E-13i
0.95,1.6,1.70271318282835,60.21071071138398+5.6341845047548767E-14i
0.95,1.7,1.7079312411720293-1.9532402071525612E-13i,62.387047366727195+6.56512572907414E-12i
0.95,1.8,1.7131866633213733,64.1830056447046+3.642779835193255E-13i
0.95,1.9,1.719437662473101,65.85967258149543-4.877814659739287E-13i
0.95,2,1.7254708863351813+2.2762221837144787E-16i,67.28792340554446-1.1058653345911567E-12i
0.95,2.1,1.7316779959357083,68.4364619819907-1.1109789782752832E-12i
0.95,2.2,1.7382996950735172-5.66306517134009E-16i,69.3944183513206+1.7414750748236466E-13i
1,1.2,1.6824942364074564,44.01738510097796+2.891954692616505E-13i
1,1.3,1.6890249083563846,48.41380090563059-1.2969802446857795E-13i
1,1.4,1.692334431296141,51.87771696174835-1.0920190558725086E-13i
1,1.5,1.6977818149744146,55.3184518953646-4.123096403885181E-13i
1,1.6,1.7030973059673689+3.468255012327358E-14i,58.04148673083168-1.725483149888121E-12i
1,1.7,1.7090716362396625,60.14468585279067-1.740754186004227E-13i
1,1.8,1.7142753976437806,62.09445255042092+2.7427697894281197E-13i
1,1.9,1.7205688626220879,63.810634346228056-1.8137081552668363E-13i
1,2,1.7263641654684776,65.20760082980117+3.8633029103031956E-13i
1,2.1,1.733254750143791-2.1941991366138365E-16i,66.43359565869768+3.448708395655886E-13i
1,2.2,1.740122033848215,67.41558441703016+1.9042014699840982E-13i
1.05,1.2,1.6819182653925977,40.82934503108578+2.2613462686644986E-13i
1.05,1.3,1.6873636026433303,45.70072212951872+3.0476573339037844E-13i
1.05,1.4,1.6924970346515262,49.439400170504726+7.34506005906572E-13i
1.05,1.5,1.6979278635210648,52.4536587093434-4.0771418869097406E-13i
1.05,1.6,1.7033260799771421,55.70134817310915+4.522720442891936E-13i
1.05,1.7,1.7095320011431925,58.05259734193448-2.778052825846891E-13i
1.05,1.8,1.7151946842292192-2.371242311711841E-16i,60.04777036932575+8.024948792015775E-14i
1.05,1.9,1.7213613194376347,61.71321038372413-3.049027294599629E-13i
1.05,2,1.7278516117950211+3.473547464265693E-13i,63.223160230199596-1.4229740167188644E-11i
1.05,2.1,1.7348813108576875+5.3105656021582326E-14i,64.50536807943158-1.9192723953309636E-12i
1.05,2.2,1.741890529405127-2.7320280252448745E-16i,65.50943945795318-5.764534332550868E-13i
1.1,1.2,1.6821193851474077-1.2611870119840608E-11i,37.137708028593536+2.815432678991172E-10i
1.1,1.3,1.6871150958274657-5.27375435146536E-16i,42.822759993712005-9.537276071941103E-14i
1.1,1.4,1.693926281981747,47.01409956238913-3.000458485799297E-13i
1.1,1.5,1.697884559189657,50.27168631934741+2.2975096860812606E-13i
1.1,1.6,1.703809225374082+2.5544258614535986E-16i,53.483394227037124-2.285382367205996E-13i
1.1,1.7,1.7100892877588834+2.449888756094251E-16i,55.99696582254752+2.20413060639008E-13i
1.1,1.8,1.7164105868861594-3.194794215691994E-16i,57.983469624994285+6.348299934445798E-13i
1.1,1.9,1.7224322125621172-3.8497765526736564E-16i,59.78614241766161-5.29671997453426E-14i
1.1,2,1.7290320891614166+4.448839896805777E-16i,61.340708309586724-3.048233274567816E-13i
1.1,2.1,1.736016271341132,62.604623551437015+6.784988992923798E-13i
1.1,2.2,1.7436208715390638,63.66527573726995+4.124309442555563E-13i
1.15,1.2,1.6787819844599123+1.0826878430715115E-11i,32.22094008390044-2.0912415893637916E-10i
1.15,1.3,1.6859905657907581,39.78661083307938-6.84431773397467E-13i
1.15,1.4,1.6922597126009549,44.43000121421261-1.1825266887360042E-13i
1.15,1.5,1.697875330044854,47.94864845365801-4.2799850035114155E-14i
1.15,1.6,1.7040568967553338,50.81187366045261+3.8431104513975507E-13i
1.15,1.7,1.7102715840718115+3.2550630848842266E-16i,53.92846143071942-1.4805242877635926E-12i
1.15,1.8,1.716895121488696-9.960728318269055E-14i,56.026875650304206+5.157913172565542E-12i
1.15,1.9,1.723350674595578+3.062867890619002E-16i,57.879844149189516+9.116679918056037E-15i
1.15,2,1.7300774084987585,59.39137590683378-6.075586317559503E-13i
1.15,2.1,1.737543820174314,60.75486101313797-1.7374866093248338E-13i
1.15,2.2,1.7454196866384541,61.871627137081354-2.9532049907215345E-13i
