w_c,w_s,Effective_mode_index,Z0
0.85,1,1.6747256081609743+2.672927415807423E-16i,43.20939090970265+3.0629535735307197E-13i
0.85,1.1,1.6789605460472634-1.8787404952521422E-16i,48.64110772763167+1.6591865631438607E-13i
0.85,1.2,1.6829406201388246-6.992083782954759E-13i,52.82177716046751+2.2267143406625028E-11i
0.9,1,1.6754367930329763,39.06451922467944-1.1015749029616298E-12i
0.9,1.1,1.6788625854011607-1.4933902531017954E-13i,45.34166835114086+4.855412308789595E-12i
0.9,1.2,1.684645424401349,50.03653925907592
