att,p
-15.0,29.17
-14.5,32.73
-14.0,36.73
-13.5,41.22
-13.0,46.26
-12.5,51.92
-12.0,58.27
-11.5,65.50
-11.0,73.40
-10.5,82.40
-10.0,92.50
-9.5,103.90
-9.0,116.60
-8.5,130.70
-8.0,146.70
-7.5,164.50
-7.0,184.60
-6.5,207.10
