I,c
7.97,5.8
7.97,7.2
7.97,8.6
7.97,6.3
7.97,7.2
8.50,1275.6
8.50,1280.1
8.50,1182.5
8.50,1304.3
8.50,1198.4
8.99,16997.5
8.99,17045.5
8.99,16623.1
8.99,17229.3
8.99,16188.6
9.48,43742.0
9.48,42696.1
9.48,43702.8
9.48,42984.8
9.48,43206.0
10.02,70451.4
10.02,70421.4
10.02,70113.2
10.02,71027.9
10.02,69759.0
10.51,95921.8
10.51,97075.3
10.51,96169.7
10.51,96634.5
10.51,96412.9
11.00,120261.4
11.00,119456.6
11.00,120150.0
11.00,119687.9
11.00,120099.1
11.49,137512.5
11.49,137237.6
11.49,137901.0
11.49,137336.2
11.49,137960.6
11.97,148743.1
11.97,149137.1
11.97,149236.9
11.97,148740.0
11.97,149161.2
12.51,156830.9
12.51,156931.6
12.51,156892.9
12.51,156805.3
12.51,156408.0
13.00,160601.9
13.00,160748.8
13.00,160582.3
13.00,160862.2
13.00,160949.4
13.25,161684.0
13.25,161912.8
13.25,161625.6
13.25,161723.5
13.25,162022.8
13.25,162040.3
13.25,161903.0
13.25,162117.4
13.49,163229.5
13.49,163203.0
13.49,163063.4
13.49,163480.2
13.49,163268.8
13.49,163069.9
13.49,163160.8
13.49,163251.1
13.73,164658.2
13.73,164380.1
13.73,164360.7
13.73,165029.8
13.73,164828.8
13.73,164964.0
13.73,164710.9
13.73,164532.3
13.98,167171.3
13.98,167430.3
13.98,167201.6
13.98,167391.5
13.98,167409.1
13.98,167375.5
13.98,166926.2
13.98,167532.2
14.27,175392.0
14.27,174864.0
14.27,174551.8
14.27,175119.9
14.27,175339.0
14.27,174350.5
14.27,174237.1
14.27,174194.7
14.52,190768.8
14.52,192873.6
14.52,193051.5
14.52,193972.6
14.52,194096.5
14.52,194832.2
14.52,192789.1
14.52,192928.1
14.76,251666.1
14.76,252036.1
14.76,248389.1
14.76,246090.5
14.76,250493.3
14.76,251525.6
14.76,249078.7
14.76,246218.2
15.00,393866.9
15.00,396665.7
15.00,397989.1
15.00,392466.2
15.00,374740.5
15.00,385017.5
15.00,394809.1
15.00,393230.8
15.25,786620.8
15.25,746344.5
15.25,744507.0
15.25,794903.7
15.25,797648.1
15.25,789542.0
15.25,789960.6
15.25,785175.1
15.49,1502891.1
15.49,1481247.5
15.49,1518763.6
15.49,1528744.1
15.49,1488616.3
15.49,1476757.2
15.49,1558878.9
15.49,1545109.0
