I,c
8.50,1.3
8.50,0.9
8.50,1.1
8.50,1.4
8.50,1.4
8.99,240.0
8.99,248.7
8.99,249.7
8.99,234.0
8.99,245.0
9.48,7431.2
9.48,7567.9
9.48,7117.3
9.48,7841.9
9.48,6902.2
10.02,24767.3
10.02,24024.6
10.02,24476.7
10.02,24055.0
10.02,24110.2
10.51,43033.6
10.51,43727.2
10.51,43048.3
10.51,43672.3
10.51,43453.5
11.00,66946.3
11.00,68350.8
11.00,67305.9
11.00,67921.4
11.00,67985.8
11.49,92467.7
11.49,93483.5
11.49,92090.8
11.49,93377.5
11.49,92310.2
11.97,116555.4
11.97,116086.4
11.97,116690.3
11.97,115930.5
11.97,117061.7
12.51,136164.5
12.51,137020.5
12.51,136799.8
12.51,137103.3
12.51,136677.2
13.00,148593.4
13.00,148824.5
13.00,148204.2
13.00,148845.4
13.00,148307.8
13.49,156657.6
13.49,156353.9
13.49,156785.8
13.49,156414.5
13.49,156661.9
13.73,159315.0
13.73,159178.4
13.73,159222.7
13.73,159073.0
13.73,158959.6
13.73,158831.9
13.73,159128.1
13.73,158864.4
13.98,161144.9
13.98,160895.9
13.98,160866.0
13.98,161264.3
13.98,161118.9
13.98,160948.7
13.98,161111.7
13.98,161102.0
14.27,163001.3
14.27,162482.3
14.27,162838.5
14.27,162741.2
14.27,162979.8
14.27,162892.7
14.27,162910.7
14.27,162885.5
14.52,163819.8
14.52,163785.1
14.52,163743.3
14.52,163748.1
14.52,163891.6
14.52,163885.5
14.52,163977.1
14.52,163616.2
14.76,164687.1
14.76,164628.8
14.76,164735.2
14.76,164567.8
14.76,164838.1
14.76,164875.0
14.76,165085.3
14.76,164817.6
15.00,165412.8
15.00,165667.4
15.00,165696.0
15.00,165642.7
15.00,165504.0
15.00,165492.6
15.00,165390.0
15.00,165735.1
15.25,166703.5
15.25,166704.2
15.25,166712.5
15.25,166446.6
15.25,166703.7
15.25,167103.2
15.25,166531.1
15.25,166828.5
15.49,168853.9
15.49,169158.9
15.49,169017.0
15.49,169077.3
15.49,169182.9
15.49,169020.9
15.49,169057.7
15.49,169059.4
15.74,176102.4
15.74,176461.9
15.74,176188.7
15.74,176479.6
15.74,175657.4
15.74,175453.7
15.74,175423.4
15.74,176046.5
15.98,197597.6
15.98,196327.5
15.98,195082.1
15.98,195400.9
15.98,196613.3
15.98,197389.8
15.98,197778.7
15.98,198131.8
